version_quote,source_id,quote_id,text,page,comment_quote,license_quote,doi_quote,language_quote,crc_quote
0,7374,118647,"*In der Nacht zum 5. Oktober 944 gab es eine totale Mondfinsternis in Bagdad.[Sul, II, S. 117]* ↵{#Tambora/Link/Source /Id(3112) /Text(Sul, II, S. 117) #}",DONE,{GrotzfeldQuoteId/162},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,e5ee4f4d62d0c2189bc68cd1f566d97e
0,7374,122295,"*Im Jahre 1214 H [5.6.1799-24.5.1800] drangen große Heuschreckenschwärme nach Syrien und Libanon ein. Ihre Anzahl war so ungeheuer groß, daß sich der Himmel verdunkelte; der angerichtete Schaden hielt sich dadurch in Grenzen, daß die Heuschrecken von Staren verfolgt wurden.[Mun,  Nr. 51, S. 450]* ↵{#Tambora/Link/Source /Id(3074) /Text(Mun,  Nr. 51, S. 450) #}",DONE,{GrotzfeldQuoteId/3859},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,43ba286259ce3009472e74ebbe3a700f
0,7599,126295,"Erster Regen Abend des 9. Ṣafar (16. Dez.)↵{#Tambora/Link/Source /Id(3100) /Text(GaS, 302) #}↵{#Tambora/Link/Source /Id(2866) /Text( Maq, I, 815) #}",DONE,{GrotzfeldQuoteId/494},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,d6e51acbec691662ab2073fae024d583
0,7374,121845,"*Der Nachmittag und die Nacht des 22.4.1752 waren regnerisch. Der niedrigste Barometerstand betrug im April 28,4, gemessen am 22.4.[Rus, I, App, X-XI]* ↵{#Tambora/Link/Source /Id(3109) /Text(Rus, I, App, X-XI) #}",DONE,{GrotzfeldQuoteId/3400},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,84e560da507105cb23c11da0fb94676c
0,7374,118814,"★Im Jahr 440 H. ［16.06.1048-04.06.1049］ grassierten  ""in allen Ländern"" Teuerung und Epidemien: Mekka, Iraq, Mosul, Jazira, Sham, Ägypten u.a.［IAt, 9, S. 552; Wüs, 2, S. 310］★ ↵{#Tambora/Link/Source /Id(3058) /Text(IAt, 9, S. 552) #}↵{#Tambora/Link/Source /Id(3088) /Text( Wüs, 2, S. 310) #}",DONE,{GrotzfeldQuoteId/330},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,ebb2f3aa39d9dc085d0ccaa3a0505f41
0,7374,118532,"*Im Jahr 253 H. [11.01.-31.12.867] gab es eine Überschwemmung in Mekka. Wasser drang in die Moschee ein und umspülte die Ka'ba. Es gab viele Verwüstungen.[Wüs, II, S. 302]* ↵{#Tambora/Link/Source /Id(3088) /Text(Wüs, II, S. 302) #}",DONE,{GrotzfeldQuoteId/46},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,1023f4231b63bc4a439bd50dfe6adb73
0,7374,118499,"*Im Shawwal 208 H. [06.02.-05.03.824] gab es eine Überschwmmung in Mekka, die stärker war als die des Jahres 202 H. Wasser drang in die Moschee ein, umspülte die Kaaba, erreichte den schwarzen Stein. Es gab viele Zerstörungen.[Wüs, I, S. 397]* ↵{#Tambora/Link/Source /Id(3088) /Text(Wüs, I, S. 397) #}",DONE,{GrotzfeldQuoteId/13},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,c864805c56f47168c7f641a951b6b0ec
0,7374,121852,"*Ab dem 18.5. war es klar und heiter bei frischen Westwinden, besonders nach dem 22.5.1752.[Rus, I, App, XI]* ↵{#Tambora/Link/Source /Id(3109) /Text(Rus, I, App, XI) #}",DONE,{GrotzfeldQuoteId/3406},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,9840a40e939dd4a3053c42b05e65808b
0,7374,118948,"*Zu Beginn des Jahres 1308 gab es eine starke Teuerung und Wassermangel in Mekka; es hatte zuwenig geregnet. Ein ghirara Weizen kostete ca. 1500 Dirham.[Wüs, 2, S. 314]* ↵{#Tambora/Link/Source /Id(3088) /Text(Wüs, 2, S. 314) #}",DONE,{GrotzfeldQuoteId/463},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,6ac1e50eea4a45d6baf657e6cdf603a2
0,7374,118539,"*Im Jahr 263 H. [24.09.876-12.09.877] gab es eine Überschwemmung in Mekka. Das Wasser drang durch die Tore in die Moschee ein und füllte sie. Der Wasserstand erreichte beinahe die Höhe des schwarzen Steines.[Wüs, II, S. 302]* ↵{#Tambora/Link/Source /Id(3088) /Text(Wüs, II, S. 302) #}",DONE,{GrotzfeldQuoteId/53},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,f27e6a162426fb5d9f68ce50419d9caf
0,7374,121856,"*Die höchste Temperatur des Mai wurde am 30.5.1752 um 16 Uhr gemessen [kein Wert angegeben].[Rus, I, XI]* ↵{#Tambora/Link/Source /Id(3109) /Text(Rus, I, XI) #}",DONE,{GrotzfeldQuoteId/3410},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,32bbef203592432bf7fc67eec2fb1a0b
0,7374,118919,"*Im Jahr 489 H. ertranken Mekka-Pilger durch eine Überschwemmung ［Pilgermonat vom 20.11.-18.12.1096］.［IAt, 10, S. 260; Suy, S. 426; Wüs, 2, S. 355］* ↵{#Tambora/Link/Source /Id(3088) /Text( Wüs, 2, S. 355) #}↵{#Tambora/Link/Source /Id(3084) /Text( Suy, S. 426) #}↵{#Tambora/Link/Source /Id(3058) /Text(IAt, 10, S. 260) #}",DONE,{GrotzfeldQuoteId/433},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,3fecba244a780fa1c3d1bb56652c5ff9
0,7374,118984,"*Im Jahr 721 H. [31.01.1321-19.01.1322] gab es eine Teuerung im Hijaz, besonders in Mekka und Umgebung.[Wüs, 2, S. 314]* ↵{#Tambora/Link/Source /Id(3088) /Text(Wüs, 2, S. 314) #}",DONE,{GrotzfeldQuoteId/498},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,628f195cd047825309b6cee6759a2221
0,7374,119053,"★Am 04.12. setzte in Mekka der Winterregen ein. Um Mitternacht gab es eine Überschwemmung, die etwa 30 Häuser zerstörte; einige Menschen ertranken.［IKt, XIV, S. 180; Wüs, II, S. 306］★ ↵{#Tambora/Link/Source /Id(3088) /Text( Wüs, II, S. 306) #}↵{#Tambora/Link/Source /Id(2868) /Text(IKt, XIV, S. 180) #}",DONE,{GrotzfeldQuoteId/565},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,65451dcf84d8e9e606a44a863de03eb6
0,7374,121862,"*Den ganzen Monat hindurch war es heiter und klar. Am 17.6 und 27.6. zogen leichte Wolken durch und nach der ersten Woche wehte ein frischer Westwind. Es gab keine Regentage. Das Temperaturminimum des Monats betrug 76° Fahrenheit [24° Celsius] [Datumsangabe fehlt].[Rus, I, App, XII]* ↵{#Tambora/Link/Source /Id(3109) /Text(Rus, I, App, XII) #}",DONE,{GrotzfeldQuoteId/3417},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,2dacc7dd2af0ade99acec893ec5acba8
0,7374,119180,"*Zu Beginn des Jahres 760 H. [ab 03.12.1358] gab es in Mekka eine starke Teuerung, so daß viele Menschen aus der Stadt in andere Gegenden flüchteten.[Wüs, II, S. 315]* ↵{#Tambora/Link/Source /Id(3088) /Text(Wüs, II, S. 315) #}",DONE,{GrotzfeldQuoteId/692},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,aac01cc985fe1081a7bc57ffa60c16e9
0,7374,119837,"*Am 6.1.1400 begann es gegen Abend in Mekka zu regnen. Es goß 2 volle Tage lang in Strömen bis zum 8.1.1400. Das Wadi Ibrahim wurde überschwemmt, es entstand ein großer See und das Wasser stieg eine Elle höher als die Schwelle der Ka'ba.[Wüs, 2, S. 306.]* ↵{#Tambora/Link/Source /Id(3088) /Text(Wüs, 2, S. 306.) #}",DONE,{GrotzfeldQuoteId/1366},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,0352fb100be86aa17d5395d0294d9b33
0,7374,120200,"*In den Jahren 815 H. - 816 H. [13.4.1412-22.3.1414] gab es aus verschiedenen Gründen eine Teuerung in Mekka: Hamsterkäufe während der Pilgerzeit [4.3.-2.4.1413]; wenig Regen im Jahr 815 H. und weniger Lebensmittelimporte aus Suwakin [Sudan] und dem Jemen als üblich. In Suwakin herrschte ebenfalls eine Teuerung, da eine Heuschreckenplage die Ernte vernichtet hatte und im Jemen war die Ernte wegen Regenmangels knapp ausgefallen.[Wüs, II, S. 318, 320]* ↵{#Tambora/Link/Source /Id(3088) /Text(Wüs, II, S. 318, 320) #}",DONE,{GrotzfeldQuoteId/1731},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,ba4c37fe33f0e2441216eb7d0d4747bd
0,7374,119840,"★Heftiger Regen am 8.1.1400 in Mekka führte zu einer Überschwemmung, welche die Schwelle der Ka′ba ca 1 Elle unter Wasser setzte. Es gab Tote durch einen Säuleneinsturz in der großen Moschee und in der Flut.［Maq, III, S. 998; Wüs, 3, S. 192］★ ↵{#Tambora/Link/Source /Id(2866) /Text(Maq, III, S. 998) #}↵{#Tambora/Link/Source /Id(3088) /Text( Wüs, 3, S. 192) #}",DONE,{GrotzfeldQuoteId/1369},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,0f847d4df5cd8f43d1b02e83d3c581fc
0,7374,121872,"*Vom 1.-21.8.1752 war das Wetter heiter und frisch; mitunter zogen mittags oder nachmittags leichte Wolken durch. Es wehte ein frischer Westwind.[Rus, I, App, XII-XIII]* ↵{#Tambora/Link/Source /Id(3109) /Text(Rus, I, App, XII-XIII) #}",DONE,{GrotzfeldQuoteId/3427},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,f5c8d0fefe1bcccdd10fc7d342721445
0,7374,120328,"*Am Sa, 11.12.1422 gab es heftigen Regen in Mekka. Es kam zu einer Überschwemmung, bei der Wasser in die Moschee eindrang.[Wüs, II, S. 308]* ↵{#Tambora/Link/Source /Id(3088) /Text(Wüs, II, S. 308) #}",DONE,{GrotzfeldQuoteId/1863},cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,,4a579aae4f3c0e3cf369fb8f48d455c4
